timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1585647878227,2341,UCJ26_3_Загрузка_формы_сводной_информации,200,"Number of samples in transaction : 10, number of failing samples : 0",UCJ26_Notification 1-3,,true,,163341,4831,3,3,null,0,7,0
1585647878228,592,362 login,200,,UCJ26_Notification 1-3,text,true,,45101,868,3,3,http://172.17.7.61:8082/mo/private/quickPage.html,160,0,0
1585647878820,287,363 login,200,,UCJ26_Notification 1-3,text,true,,44760,441,3,3,http://172.17.7.61:8082/mo/private/quickPage.html,287,0,0
1585647879108,105,403 login,200,,UCJ26_Notification 1-3,text,true,,20049,484,3,3,http://172.17.7.61:8082/mo/private/css/fonts/Roboto-Regular-webfont.woff2,105,0,0
1585647879214,43,404 login,200,,UCJ26_Notification 1-3,text,true,,322,419,3,3,http://172.17.7.61:8082/mo/private/help?url=,43,0,0
1585647879258,57,405 login,200,,UCJ26_Notification 1-3,bin,true,,7229,425,3,3,http://172.17.7.61:8082/mo/private/new-design/logo.svg,57,0,0
1585647879316,246,411 login,200,,UCJ26_Notification 1-3,text,true,,1251,417,3,3,http://172.17.7.61:8082/mo/private/common-info,246,0,0
1585647879562,98,409 login,200,,UCJ26_Notification 1-3,text,true,,1095,426,3,3,http://172.17.7.61:8082/mo/private/period-info-all-time,98,0,35
1585647879661,67,410 login,200,,UCJ26_Notification 1-3,text,true,,913,422,3,3,http://172.17.7.61:8082/mo/private/period-info-year,67,0,0
1585647879729,360,412 login,200,,UCJ26_Notification 1-3,text,true,,608,440,3,3,http://172.17.7.61:8082/mo/private/api/auth/events/attemptsForMessage,360,0,0
1585647880089,486,413 login,200,,UCJ26_Notification 1-3,text,true,,42013,489,3,3,http://172.17.7.61:8082/mo/private/new-design/ubuntu-v14-latin_cyrillic-500.7a8c276d.woff2,486,0,0
1585647878022,2554,UCJ26_3_Загрузка_формы_сводной_информации,200,"Number of samples in transaction : 10, number of failing samples : 0",UCJ26_Notification 1-2,,true,,163341,4831,3,3,null,0,9,0
1585647878022,500,362 login,200,,UCJ26_Notification 1-2,text,true,,45101,868,3,3,http://172.17.7.61:8082/mo/private/quickPage.html,48,0,0
1585647878523,476,363 login,200,,UCJ26_Notification 1-2,text,true,,44760,441,3,3,http://172.17.7.61:8082/mo/private/quickPage.html,476,0,0
1585647879000,119,403 login,200,,UCJ26_Notification 1-2,text,true,,20049,484,3,3,http://172.17.7.61:8082/mo/private/css/fonts/Roboto-Regular-webfont.woff2,119,0,0
1585647879119,64,404 login,200,,UCJ26_Notification 1-2,text,true,,322,419,3,3,http://172.17.7.61:8082/mo/private/help?url=,64,0,0
1585647879183,62,405 login,200,,UCJ26_Notification 1-2,bin,true,,7229,425,3,3,http://172.17.7.61:8082/mo/private/new-design/logo.svg,62,0,0
1585647879246,51,411 login,200,,UCJ26_Notification 1-2,text,true,,1251,417,3,3,http://172.17.7.61:8082/mo/private/common-info,51,0,0
1585647879298,279,409 login,200,,UCJ26_Notification 1-2,text,true,,1095,426,3,3,http://172.17.7.61:8082/mo/private/period-info-all-time,279,0,230
1585647879580,61,410 login,200,,UCJ26_Notification 1-2,text,true,,913,422,3,3,http://172.17.7.61:8082/mo/private/period-info-year,61,0,0
1585647879642,430,412 login,200,,UCJ26_Notification 1-2,text,true,,608,440,3,3,http://172.17.7.61:8082/mo/private/api/auth/events/attemptsForMessage,430,0,0
1585647880073,512,413 login,200,,UCJ26_Notification 1-2,text,true,,42013,489,3,3,http://172.17.7.61:8082/mo/private/new-design/ubuntu-v14-latin_cyrillic-500.7a8c276d.woff2,512,0,0
1585647874583,1848,UCJ26_4_Загрузка_формы_реестра_контрактов,200,"Number of samples in transaction : 8, number of failing samples : 0",UCJ26_Notification 1-1,,true,,110751,3882,3,3,null,0,12704,0
1585647887280,102,414 openReestrContracts,200,,UCJ26_Notification 1-1,text,true,,9860,458,3,3,http://172.17.7.61:8082/mo/private/registry/contracts_new,102,0,31
1585647887383,66,423 openReestrContracts,200,,UCJ26_Notification 1-1,text,true,,322,447,3,3,http://172.17.7.61:8082/mo/private/help?url=registry%2Fcontracts_new,66,0,0
1585647887450,55,424 openReestrContracts,200,,UCJ26_Notification 1-1,bin,true,,7229,433,3,3,http://172.17.7.61:8082/mo/private/new-design/logo.svg,55,0,0
1585647887506,309,426 openReestrContracts,200,,UCJ26_Notification 1-1,text,true,,608,448,3,3,http://172.17.7.61:8082/mo/private/api/auth/events/attemptsForMessage,309,0,0
1585647887816,322,425 openReestrContracts,200,,UCJ26_Notification 1-1,text,true,,8714,532,3,3,http://172.17.7.61:8082/mo/private/registry/contracts_new/data/config,322,0,0
1585647888139,46,428 openReestrContracts,200,,UCJ26_Notification 1-1,text,true,,322,447,3,3,http://172.17.7.61:8082/mo/private/registry/contracts_new/data/saved,46,0,0
1585647888185,63,427 openReestrContracts,200,,UCJ26_Notification 1-1,text,true,,1045,436,3,3,http://172.17.7.61:8082/mo/private/registry/support/banks,63,0,0
1585647888250,885,429 openReestrContracts,200,,UCJ26_Notification 1-1,text,true,,82651,681,3,3,http://172.17.7.61:8082/mo/private/registry/contracts_new/data/list,884,0,0
1585647880585,1410,UCJ26_4_Загрузка_формы_реестра_контрактов,200,"Number of samples in transaction : 8, number of failing samples : 0",UCJ26_Notification 1-2,,true,,110751,3882,3,3,null,0,12707,0
1585647893284,104,414 openReestrContracts,200,,UCJ26_Notification 1-2,text,true,,9860,458,3,3,http://172.17.7.61:8082/mo/private/registry/contracts_new,104,0,35
1585647893389,82,423 openReestrContracts,200,,UCJ26_Notification 1-2,text,true,,322,447,3,3,http://172.17.7.61:8082/mo/private/help?url=registry%2Fcontracts_new,82,0,0
1585647893472,81,424 openReestrContracts,200,,UCJ26_Notification 1-2,bin,true,,7229,433,3,3,http://172.17.7.61:8082/mo/private/new-design/logo.svg,81,0,0
1585647893554,254,426 openReestrContracts,200,,UCJ26_Notification 1-2,text,true,,608,448,3,3,http://172.17.7.61:8082/mo/private/api/auth/events/attemptsForMessage,254,0,0
1585647893809,116,425 openReestrContracts,200,,UCJ26_Notification 1-2,text,true,,8714,532,3,3,http://172.17.7.61:8082/mo/private/registry/contracts_new/data/config,116,0,0
1585647893926,243,428 openReestrContracts,200,,UCJ26_Notification 1-2,text,true,,322,447,3,3,http://172.17.7.61:8082/mo/private/registry/contracts_new/data/saved,243,0,0
